seed,arm,frame,tile_idx,n_all_classes,n_plant,max_det,hit_cap
stock_s0,tile,20260705_132815_000048.jpg,3,526,155,12000,0
stock_s0,tile,20260705_132815_000048.jpg,4,468,196,12000,0
stock_s0,tile,20260705_132815_000048.jpg,5,459,223,12000,0
stock_s0,tile,20260705_132815_000048.jpg,6,420,208,12000,0
stock_s0,tile,20260705_132815_000048.jpg,7,414,216,12000,0
stock_s0,tile,20260705_132815_000048.jpg,8,451,274,12000,0
stock_s0,tile,20260705_132815_000048.jpg,9,472,258,12000,0
stock_s0,tile,20260705_132815_000048.jpg,10,500,259,12000,0
stock_s0,tile,20260705_132815_000048.jpg,11,430,228,12000,0
stock_s0,tile,20260705_132815_000048.jpg,12,458,280,12000,0
stock_s0,tile,20260705_132815_000048.jpg,13,449,269,12000,0
stock_s0,tile,20260705_132815_000048.jpg,14,532,362,12000,0
stock_s0,tile,20260705_132815_000048.jpg,15,544,386,12000,0
stock_s0,tile,20260705_132815_000048.jpg,16,263,160,12000,0
stock_s0,tile,20260705_132815_000048.jpg,17,228,124,12000,0
stock_s0,tile,20260705_132815_000048.jpg,18,224,133,12000,0
stock_s0,tile,20260705_132815_000048.jpg,19,230,143,12000,0
stock_s0,tile,20260705_132815_000048.jpg,20,362,227,12000,0
stock_s0,tile,20260705_132815_000048.jpg,21,318,202,12000,0
stock_s0,tile,20260705_132815_000048.jpg,22,195,136,12000,0
stock_s0,tile,20260705_132815_000048.jpg,23,264,168,12000,0
stock_s0,tile,20260705_132815_000048.jpg,24,133,69,12000,0
stock_s0,tile,20260705_132815_000048.jpg,25,84,42,12000,0
stock_s0,tile,20260705_132815_000048.jpg,26,139,93,12000,0
stock_s0,tile,20260705_132815_000048.jpg,27,79,46,12000,0
stock_s0,tile,20260705_132815_000048.jpg,28,262,169,12000,0
stock_s0,tile,20260705_132815_000048.jpg,29,244,138,12000,0
stock_s0,tile,20260705_132815_000048.jpg,30,201,122,12000,0
stock_s0,tile,20260705_132815_000048.jpg,31,179,96,12000,0
stock_s0,tile_addfull,20260705_132815_000048.jpg,-1,1450,502,12000,0
stock_s0,tile,20260705_132815_000108.jpg,0,484,214,12000,0
stock_s0,tile,20260705_132815_000108.jpg,1,644,253,12000,0
stock_s0,tile,20260705_132815_000108.jpg,2,652,259,12000,0
stock_s0,tile,20260705_132815_000108.jpg,3,494,175,12000,0
stock_s0,tile,20260705_132815_000108.jpg,4,524,208,12000,0
stock_s0,tile,20260705_132815_000108.jpg,5,478,224,12000,0
stock_s0,tile,20260705_132815_000108.jpg,6,497,290,12000,0
stock_s0,tile,20260705_132815_000108.jpg,7,466,281,12000,0
stock_s0,tile,20260705_132815_000108.jpg,8,380,200,12000,0
stock_s0,tile,20260705_132815_000108.jpg,9,349,189,12000,0
stock_s0,tile,20260705_132815_000108.jpg,10,427,255,12000,0
stock_s0,tile,20260705_132815_000108.jpg,11,315,187,12000,0
stock_s0,tile,20260705_132815_000108.jpg,12,402,262,12000,0
stock_s0,tile,20260705_132815_000108.jpg,13,368,247,12000,0
stock_s0,tile,20260705_132815_000108.jpg,14,341,220,12000,0
stock_s0,tile,20260705_132815_000108.jpg,15,415,256,12000,0
stock_s0,tile,20260705_132815_000108.jpg,16,270,157,12000,0
stock_s0,tile,20260705_132815_000108.jpg,17,215,129,12000,0
stock_s0,tile,20260705_132815_000108.jpg,18,225,117,12000,0
stock_s0,tile,20260705_132815_000108.jpg,19,171,106,12000,0
stock_s0,tile,20260705_132815_000108.jpg,20,326,213,12000,0
stock_s0,tile,20260705_132815_000108.jpg,21,312,199,12000,0
stock_s0,tile,20260705_132815_000108.jpg,22,227,138,12000,0
stock_s0,tile,20260705_132815_000108.jpg,23,216,135,12000,0
stock_s0,tile,20260705_132815_000108.jpg,24,101,44,12000,0
stock_s0,tile,20260705_132815_000108.jpg,25,128,56,12000,0
stock_s0,tile,20260705_132815_000108.jpg,26,135,82,12000,0
stock_s0,tile,20260705_132815_000108.jpg,27,24,16,12000,0
stock_s0,tile,20260705_132815_000108.jpg,28,244,145,12000,0
stock_s0,tile,20260705_132815_000108.jpg,29,264,158,12000,0
stock_s0,tile,20260705_132815_000108.jpg,30,209,127,12000,0
stock_s0,tile,20260705_132815_000108.jpg,31,194,100,12000,0
stock_s0,tile_addfull,20260705_132815_000108.jpg,-1,1516,530,12000,0
stock_s0,tile,20260705_132815_000180.jpg,0,526,242,12000,0
stock_s0,tile,20260705_132815_000180.jpg,1,683,252,12000,0
stock_s0,tile,20260705_132815_000180.jpg,2,683,254,12000,0
stock_s0,tile,20260705_132815_000180.jpg,3,487,181,12000,0
stock_s0,tile,20260705_132815_000180.jpg,4,518,207,12000,0
stock_s0,tile,20260705_132815_000180.jpg,5,466,239,12000,0
stock_s0,tile,20260705_132815_000180.jpg,6,470,272,12000,0
stock_s0,tile,20260705_132815_000180.jpg,7,435,274,12000,0
stock_s0,tile,20260705_132815_000180.jpg,8,233,107,12000,0
stock_s0,tile,20260705_132815_000180.jpg,9,414,231,12000,0
stock_s0,tile,20260705_132815_000180.jpg,10,382,235,12000,0
stock_s0,tile,20260705_132815_000180.jpg,11,321,183,12000,0
stock_s0,tile,20260705_132815_000180.jpg,12,447,286,12000,0
stock_s0,tile,20260705_132815_000180.jpg,13,416,253,12000,0
stock_s0,tile,20260705_132815_000180.jpg,14,314,187,12000,0
stock_s0,tile,20260705_132815_000180.jpg,15,341,217,12000,0
stock_s0,tile,20260705_132815_000180.jpg,16,200,116,12000,0
stock_s0,tile,20260705_132815_000180.jpg,17,153,81,12000,0
stock_s0,tile,20260705_132815_000180.jpg,18,185,118,12000,0
stock_s0,tile,20260705_132815_000180.jpg,19,188,89,12000,0
stock_s0,tile,20260705_132815_000180.jpg,20,334,200,12000,0
stock_s0,tile,20260705_132815_000180.jpg,21,360,218,12000,0
stock_s0,tile,20260705_132815_000180.jpg,22,206,113,12000,0
stock_s0,tile,20260705_132815_000180.jpg,23,212,122,12000,0
stock_s0,tile,20260705_132815_000180.jpg,24,52,38,12000,0
stock_s0,tile,20260705_132815_000180.jpg,25,145,84,12000,0
stock_s0,tile,20260705_132815_000180.jpg,26,147,82,12000,0
stock_s0,tile,20260705_132815_000180.jpg,27,39,23,12000,0
stock_s0,tile,20260705_132815_000180.jpg,28,216,132,12000,0
stock_s0,tile,20260705_132815_000180.jpg,29,240,148,12000,0
stock_s0,tile,20260705_132815_000180.jpg,30,273,159,12000,0
stock_s0,tile,20260705_132815_000180.jpg,31,304,189,12000,0
stock_s0,tile_addfull,20260705_132815_000180.jpg,-1,1519,527,12000,0
stock_s0,tile,20260705_132815_000192.jpg,0,574,260,12000,0
stock_s0,tile,20260705_132815_000192.jpg,1,710,274,12000,0
stock_s0,tile,20260705_132815_000192.jpg,2,637,250,12000,0
stock_s0,tile,20260705_132815_000192.jpg,3,500,175,12000,0
stock_s0,tile,20260705_132815_000192.jpg,4,559,226,12000,0
stock_s0,tile,20260705_132815_000192.jpg,5,428,212,12000,0
stock_s0,tile,20260705_132815_000192.jpg,6,453,273,12000,0
