epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,385.543,1.73496,1.04739,1.26964,0.54234,0.5051,0.51807,0.21634,2.02466,1.32888,1.55548,0.000850087,0.000850087,0.000850087
101,389.415,1.72359,1.04019,1.26422,0.54505,0.45734,0.46708,0.20458,2.01981,1.35875,1.54451,0.000841835,0.000841835,0.000841835
102,393.259,1.73617,1.04347,1.25458,0.51822,0.47813,0.46541,0.18933,2.10112,1.37966,1.62177,0.000833583,0.000833583,0.000833583
103,397.117,1.75647,1.05202,1.26642,0.52446,0.47919,0.48281,0.20521,2.01389,1.35334,1.5244,0.000825332,0.000825332,0.000825332
104,400.933,1.74928,1.06172,1.27436,0.6091,0.46945,0.4937,0.20364,2.02271,1.4125,1.55013,0.00081708,0.00081708,0.00081708
105,404.763,1.75799,1.04262,1.25803,0.54366,0.45478,0.44757,0.15692,2.22519,1.42265,1.72297,0.000808828,0.000808828,0.000808828
106,408.627,1.74905,1.04053,1.25414,0.64192,0.49761,0.51004,0.20401,2.06022,1.29919,1.57266,0.000800577,0.000800577,0.000800577
107,412.469,1.74353,1.04174,1.24976,0.55727,0.47805,0.47962,0.18552,2.13092,1.35438,1.63368,0.000792325,0.000792325,0.000792325
108,416.312,1.73458,1.02749,1.23527,0.57417,0.45822,0.47889,0.1866,2.09435,1.37793,1.60226,0.000784073,0.000784073,0.000784073
109,420.166,1.74408,1.05387,1.26461,0.72246,0.4752,0.51807,0.20804,2.0275,1.31842,1.54176,0.000775822,0.000775822,0.000775822
110,423.964,1.71661,1.03466,1.24168,0.58587,0.39849,0.44512,0.16849,2.1998,1.49754,1.7185,0.00076757,0.00076757,0.00076757
111,427.819,1.73513,1.02654,1.249,0.59252,0.47384,0.48163,0.18985,2.08841,1.34376,1.61585,0.000759318,0.000759318,0.000759318
112,431.679,1.69496,0.99674,1.22853,0.60074,0.52584,0.52115,0.2055,2.05302,1.28445,1.56584,0.000751067,0.000751067,0.000751067
113,435.511,1.71313,0.99007,1.23486,0.57967,0.46172,0.49055,0.18774,2.15037,1.3904,1.66071,0.000742815,0.000742815,0.000742815
114,439.362,1.70782,0.98324,1.22496,0.62708,0.45502,0.48941,0.20123,2.07218,1.43477,1.59912,0.000734564,0.000734564,0.000734564
115,443.213,1.73096,0.99507,1.23721,0.5441,0.47943,0.46388,0.17822,2.15033,1.41273,1.66863,0.000726312,0.000726312,0.000726312
116,447.044,1.69768,0.9752,1.23029,0.57298,0.48946,0.47697,0.18081,2.15959,1.37637,1.67654,0.00071806,0.00071806,0.00071806
117,450.913,1.67115,0.96448,1.20574,0.58965,0.45581,0.47568,0.1952,2.07376,1.40777,1.61735,0.000709809,0.000709809,0.000709809
118,454.776,1.65551,0.9717,1.23058,0.61569,0.45774,0.49053,0.19998,2.07098,1.39868,1.62272,0.000701557,0.000701557,0.000701557
119,458.633,1.66879,0.97096,1.22576,0.63386,0.44506,0.50038,0.19575,2.12383,1.32429,1.64248,0.000693305,0.000693305,0.000693305
120,462.47,1.664,0.97693,1.22426,0.56918,0.47651,0.48233,0.19423,2.09775,1.37552,1.62547,0.000685054,0.000685054,0.000685054
