stem,source_video,dist
image_0368,IMG_3921.MOV,0.5254
image_0369,IMG_3934.MOV,0.6216
image_0370,IMG_3934.MOV,0.6752
image_0371,IMG_3934.MOV,0.7744
image_0373,IMG_3932.MOV,0.837
image_0374,IMG_3925.MOV,0.8154
image_0375,IMG_3913.MOV,0.7812
image_0376,IMG_3932.MOV,0.8309
image_0377,3902_1.mp4,0.8723
image_0380,IMG_3934.MOV,0.788
image_0385,IMG_3928.MOV,0.5889
image_0386,IMG_3917.MOV,0.8259
image_0389,IMG_3917.MOV,0.3571
image_0390,IMG_3921.MOV,0.3742
image_0391,IMG_3921.MOV,0.5744
image_0392,IMG_3921.MOV,0.3788
image_0393,IMG_3921.MOV,0.334
image_0394,IMG_3917.MOV,0.3838
image_0399,IMG_3916.MOV,0.4058
image_0400,IMG_3916.MOV,0.455
image_0402,IMG_3921.MOV,0.3899
image_0404,IMG_3916.MOV,0.4837
image_0407,IMG_3921.MOV,0.4358
image_0408,IMG_3921.MOV,0.6183
image_0410,IMG_3921.MOV,0.4946
image_0414,IMG_3921.MOV,0.8128
image_0415,IMG_3944.MOV,0.7609
image_0416,IMG_3923.MOV,0.822
image_0417,IMG_3921.MOV,0.7827
image_0418,IMG_3920.MOV,0.6686
image_0419,IMG_3928.MOV,0.7642
image_0420,IMG_3928.MOV,0.6759
image_0422,IMG_3928.MOV,0.6913
image_0423,IMG_3938.MOV,0.8562
image_0424,IMG_3916.MOV,0.6345
image_0425,IMG_3921.MOV,0.6004
image_0426,IMG_3921.MOV,0.6052
image_0427,IMG_3910.MOV,0.602
image_0428,IMG_3921.MOV,0.5508
image_0441,IMG_3924.MOV,0.8124
image_0443,IMG_3922.MOV,0.8466
image_0444,IMG_3944.MOV,0.8519
image_0445,IMG_3928.MOV,0.768
image_0446,IMG_3921.MOV,0.7062
image_0447,IMG_3938.MOV,0.7127
image_0451,IMG_3914.MOV,0.8994
image_0452,IMG_3923.MOV,0.7932
image_0453,IMG_3924.MOV,0.7413
image_0454,IMG_3934.MOV,0.6171
image_0456,IMG_3921.MOV,0.6499
image_0457,IMG_3934.MOV,0.6317
image_0458,IMG_3917.MOV,0.8158
image_0459,IMG_3921.MOV,0.4782
image_0487,IMG_3928.MOV,0.759
image_0488,IMG_3921.MOV,0.824
image_0491,IMG_3920.MOV,0.8014
image_0493,IMG_3928.MOV,0.7728
image_0498,IMG_3920.MOV,0.7539
image_0500,IMG_3921.MOV,0.7248
image_0501,IMG_3934.MOV,0.8314
image_0502,IMG_3922.MOV,0.7399
image_0505,IMG_3916.MOV,0.7251
image_0506,IMG_3921.MOV,0.7147
image_0508,IMG_3920.MOV,0.7509
image_0509,IMG_3922.MOV,0.8004
image_0510,IMG_3913.MOV,0.7461
image_0511,IMG_3934.MOV,0.7453
image_0512,IMG_3917.MOV,0.7707
image_0514,IMG_3917.MOV,0.7977
image_0515,IMG_3935.MOV,0.7616
image_0518,3902_1.mp4,0.7731
image_0520,IMG_3934.MOV,0.7388
image_0523,IMG_3917.MOV,0.7757
image_0526,3902_1.mp4,0.576
image_0527,IMG_3916.MOV,0.5319
image_0528,IMG_3934.MOV,0.63
